Domain ascore,Domain score,Domain trust score,Domain,Backlinks,IP Address,Country,First seen,Last seen
84,60,65,ubuntu.com,4345,91.189.95.57,gb,2016-08-31,2018-11-22
84,61,67,intel.com,21,23.46.56.6,us,2017-05-14,2018-11-20
84,63,67,europa.eu,29,147.67.119.135,lu,2016-09-28,2018-10-28
84,46,50,purevolume.com,2,52.6.211.71,us,2018-04-05,2018-10-13
84,58,65,psu.edu,173,128.118.64.224,us,2017-06-15,2018-11-22
84,58,64,upenn.edu,107,104.155.135.151,us,2017-04-24,2018-11-21
84,60,68,epa.gov,34,143.204.101.82,us,2017-03-31,2018-11-21
84,59,68,patreon.com,52,104.20.18.183,us,2017-10-03,2018-11-22
84,61,64,launchpad.net,22,91.189.95.64,gb,2016-09-11,2018-11-20
84,56,63,wisc.edu,344,128.104.164.225,us,2017-04-24,2018-11-22
84,56,63,umn.edu,37,128.101.76.151,us,2017-04-27,2018-11-21
84,61,63,openstreetmap.org,14,130.117.76.4,nl,2017-05-14,2018-11-21
84,60,68,abcnews.go.com,54,52.222.168.116,us,2014-04-21,2018-11-21
84,52,53,canalblog.com,135,195.137.184.101,fr,2017-04-22,2018-11-21
84,58,65,columbia.edu,101,128.59.222.85,us,2017-04-30,2018-11-21
84,63,56,so.com,35,171.8.167.54,cn,2018-06-06,2018-11-21
84,58,65,prweb.com,434,199.83.131.9,us,2017-03-02,2018-11-22
84,55,62,theglobeandmail.com,134,184.26.44.179,us,2016-12-30,2018-11-21
84,60,66,engadget.com,1892,35.161.22.180,us,2016-04-10,2018-11-22
84,66,68,drupal.org,40,151.101.200.68,us,2017-02-11,2018-11-20
84,63,67,mapquest.com,2,52.70.60.154,us,2017-11-10,2018-11-21
84,58,65,umich.edu,37,141.211.177.222,us,2017-05-23,2018-11-21
84,56,61,slashdot.org,14,216.34.181.48,us,2013-06-24,2018-10-23
84,58,64,abc.net.au,12,23.11.254.176,us,2016-12-26,2018-11-21
84,56,61,lemonde.fr,3926,213.186.33.17,fr,2017-04-01,2018-11-22
84,58,64,unesco.org,4,193.242.192.41,fr,2017-09-15,2018-11-20
84,60,67,pbs.org,29,54.225.206.152,us,2016-10-24,2018-11-21
84,58,63,thestar.com,149,143.204.81.19,us,2015-05-11,2018-11-22
84,65,69,mysql.com,3,137.254.60.15,us,2017-08-30,2018-11-20
84,58,66,steamcommunity.com,25,104.90.49.49,us,2016-04-10,2018-11-16
84,61,61,jd.com,22,211.151.8.154,cn,2018-03-09,2018-11-20
84,59,63,hatenablog.com,317,13.112.5.107,jp,2017-04-01,2018-11-22
84,60,66,bitbucket.org,1,104.192.143.1,us,2018-01-31,2018-09-06
84,61,65,about.me,59,34.198.3.116,us,2018-05-21,2018-11-21
84,64,70,mashable.com,1016,23.45.183.34,us,2016-02-08,2018-11-21
84,67,67,elegantthemes.com,1,192.124.249.10,us,2018-08-25,2018-11-20
84,64,69,python.org,8,188.166.95.178,nl,2017-04-10,2018-11-21
84,59,66,washington.edu,110,128.208.201.23,us,2017-04-24,2018-11-21
84,57,57,blogspot.it,1,172.217.13.65,us,2018-02-20,2018-10-23
84,64,68,dribbble.com,14,151.101.202.89,us,2017-01-06,2018-11-05
84,63,70,cnbc.com,105,104.111.214.166,nl,2015-05-10,2018-11-21
84,56,56,goo.ne.jp,96,153.254.147.65,jp,2016-09-05,2018-11-21
84,60,67,nationalgeographic.com,79,23.209.177.15,us,2016-09-04,2018-11-22
84,57,61,yolasite.com,53,104.16.162.215,us,2017-04-05,2018-11-21
83,59,65,vice.com,1368,151.101.201.132,us,2013-10-08,2018-11-21
83,60,66,playstation.com,167,23.36.88.197,us,2016-11-23,2018-11-21
