Domain ascore,Domain score,Domain trust score,Domain,Backlinks,IP Address,Country,First seen,Last seen
85,60,66,foursquare.com,12,151.101.250.49,us,2017-06-30,2018-11-21
85,63,66,naver.com,162,104.92.116.145,us,2017-06-29,2018-11-21
85,61,66,cbc.ca,174,23.72.6.39,us,2014-02-11,2018-11-21
85,82,83,zendesk.com,104,104.16.19.13,us,2017-04-28,2018-11-21
85,63,70,prnewswire.com,279,23.204.53.87,us,2014-04-20,2018-11-22
85,66,72,techcrunch.com,2972,192.0.66.2,us,2018-03-17,2018-11-22
85,61,63,blogspot.in,13,172.217.7.193,us,2017-09-27,2018-10-25
85,61,67,webmd.com,3,104.17.118.156,us,2018-10-01,2018-10-29
85,58,64,storify.com,15,52.84.117.211,us,2016-06-29,2018-11-06
85,76,79,fb.com,1,192.0.66.2,us,2018-10-30,2018-11-20
85,59,65,quora.com,7,151.101.33.2,us,2018-07-10,2018-11-21
85,57,58,blog.fc2.com,2232,104.244.98.63,us,2016-09-15,2018-11-22
85,60,59,blogspot.com.br,15,172.217.7.129,us,2017-03-14,2018-10-22
85,62,65,houzz.com,4,151.101.32.93,us,2017-01-11,2018-11-20
85,61,68,cornell.edu,26,174.129.228.103,us,2017-04-26,2018-11-21
85,65,61,google.pl,2,108.177.12.138,us,2018-11-10,2018-11-21
85,59,65,indiatimes.com,52,184.31.200.113,us,2015-02-04,2018-11-21
85,58,66,nbcnews.com,227,23.73.19.21,us,2015-08-01,2018-11-21
85,60,66,ow.ly,154,54.183.132.164,us,2017-05-30,2018-11-21
85,58,62,blogspot.ca,9,74.125.141.132,us,2017-09-19,2018-10-31
85,61,69,steampowered.com,1455,23.32.163.235,us,2016-04-08,2018-11-22
85,69,75,wpengine.com,98,35.196.225.187,us,2016-05-15,2018-11-22
84,53,59,co.ke,7443,99.198.97.170,us,2018-09-13,2018-11-22
84,54,56,biglobe.ne.jp,118,49.129.255.107,jp,2016-09-29,2018-11-21
84,60,65,ubuntu.com,5946,91.189.95.57,gb,2017-04-06,2018-11-22
84,61,67,intel.com,107,104.96.216.130,us,2017-01-20,2018-11-22
84,66,54,dedecms.com,142,218.29.186.68,cn,2015-02-21,2018-11-21
84,63,67,europa.eu,40,147.67.119.170,lu,2016-05-27,2018-10-29
84,46,50,purevolume.com,20,52.45.96.110,us,2015-02-23,2018-11-10
84,56,54,cntv.cn,10,104.96.221.51,us,2017-05-05,2018-11-07
84,58,65,psu.edu,324,146.186.15.14,us,2017-05-05,2018-11-21
84,58,64,upenn.edu,416,128.91.252.31,us,2017-04-08,2018-11-21
84,59,68,patreon.com,281,104.20.19.183,us,2017-05-21,2018-11-21
84,61,64,launchpad.net,8,91.189.95.64,gb,2017-05-01,2018-11-17
84,73,70,parallels.com,10,104.16.48.63,us,2017-04-30,2018-11-19
84,56,63,wisc.edu,74110,128.104.164.218,us,2017-04-15,2018-11-22
84,56,63,umn.edu,120,54.225.111.106,us,2017-05-04,2018-11-21
84,61,63,openstreetmap.org,120,130.117.76.4,nl,2014-11-27,2018-11-21
